;TYPE;Model;BETA;J;V;Pe;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*;Dominated
1358;APC MR;APC MR;0.423076923;0.18;17.9;0.4238;0.0865;0.0373;0.56;4.41;4.958;13;0.088483857;0.04010666;0
1359;APC MR;APC MR;0.423076923;0.21;20.2;0.468;0.0835;0.0367;0.551;4.338;4.787;13;0.084767646;0.039722752;0
1500;APC MR;APC MR;0.392857143;0;0;0;0.0993;0.0394;0.585;5.265;5.957;14;0.099223132;0.034404157;0
1800;APC MR;APC MR;0.305555556;0;0;0;0.0857;0.0274;0.521;6.563;7.162;18;0.081459564;0.025690543;0
1801;APC MR;APC MR;0.305555556;0.02;1.6;0.0577;0.0838;0.0271;0.515;6.486;7.008;18;0.080079943;0.026171071;0
2010;APC MR;APC MR;0.346153846;0;0;0;0.0927;0.0321;0.482;3.797;5.313;13;0.089773407;0.029536414;0
2011;APC MR;APC MR;0.346153846;0.02;2;0.0575;0.0909;0.0317;0.475;3.742;5.21;13;0.08839682;0.030078237;0
2012;APC MR;APC MR;0.346153846;0.04;3.9;0.114;0.0889;0.0313;0.469;3.693;5.099;13;0.086884931;0.030521261;0
2013;APC MR;APC MR;0.346153846;0.06;5.9;0.169;0.0869;0.0309;0.463;3.651;4.982;13;0.085238752;0.030865484;0
2014;APC MR;APC MR;0.346153846;0.08;7.9;0.2221;0.0847;0.0306;0.458;3.612;4.859;13;0.083459291;0.031110907;0
2190;APC MR;APC MR;0.34375;0;0;0;0.0923;0.0323;0.589;6.183;6.935;16;0.089282413;0.029297639;0
2191;APC MR;APC MR;0.34375;0.02;1.8;0.057;0.0904;0.0317;0.577;6.062;6.797;16;0.087905647;0.029835832;0
2192;APC MR;APC MR;0.34375;0.04;3.6;0.1135;0.0885;0.0311;0.567;5.959;6.651;16;0.086393219;0.030275226;0
2193;APC MR;APC MR;0.34375;0.06;5.4;0.1688;0.0864;0.0307;0.559;5.869;6.496;16;0.084746142;0.03061582;0
2194;APC MR;APC MR;0.34375;0.08;7.3;0.2225;0.0843;0.0302;0.551;5.789;6.332;16;0.082965424;0.030857614;0
2195;APC MR;APC MR;0.34375;0.1;9.1;0.2741;0.082;0.0299;0.544;5.715;6.161;16;0.081052075;0.031000607;0
2196;APC MR;APC MR;0.34375;0.12;10.9;0.3233;0.0796;0.0295;0.537;5.644;5.981;16;0.079007106;0.031044801;0
2220;APC MR;APC MR;0.5625;0;0;0;0.1202;0.052;0.004;0.078;0.141;8;0.129797998;0.053836138;0
2221;APC MR;APC MR;0.5625;0.03;0.7;0.066;0.1193;0.0527;0.004;0.079;0.14;8;0.127718682;0.055101781;0
2222;APC MR;APC MR;0.5625;0.06;1.3;0.1289;0.1181;0.0535;0.004;0.08;0.139;8;0.125408808;0.056145125;0
2223;APC MR;APC MR;0.5625;0.09;2;0.1887;0.1168;0.0542;0.004;0.081;0.137;8;0.122871783;0.056966169;0
2224;APC MR;APC MR;0.5625;0.12;2.7;0.2454;0.1153;0.0548;0.004;0.082;0.135;8;0.120111016;0.057564913;0
2225;APC MR;APC MR;0.5625;0.15;3.3;0.299;0.1136;0.0554;0.004;0.083;0.133;8;0.117129916;0.057941356;0
2226;APC MR;APC MR;0.5625;0.18;4;0.3494;0.1117;0.056;0.004;0.084;0.131;8;0.113931891;0.0580955;0
2227;APC MR;APC MR;0.5625;0.2;4.6;0.3968;0.1096;0.0564;0.004;0.084;0.129;8;0.111681043;0.058074763;0
2228;APC MR;APC MR;0.5625;0.23;5.3;0.4412;0.1071;0.0567;0.004;0.085;0.126;8;0.108129051;0.057858406;0
2229;APC MR;APC MR;0.5625;0.26;6;0.4827;0.1041;0.0566;0.004;0.085;0.122;8;0.104369222;0.05741975;0
2230;APC MR;APC MR;0.5625;0.29;6.6;0.521;0.1007;0.0564;0.004;0.084;0.118;8;0.100404967;0.056758794;0
2231;APC MR;APC MR;0.5625;0.32;7.3;0.5561;0.0969;0.0559;0.004;0.084;0.114;8;0.096239693;0.055875538;0
2232;APC MR;APC MR;0.5625;0.35;8;0.588;0.0927;0.0552;0.004;0.083;0.109;8;0.091876808;0.054769981;0
2233;APC MR;APC MR;0.5625;0.38;8.6;0.6167;0.0882;0.0542;0.004;0.081;0.104;8;0.087319722;0.053442125;0
2234;APC MR;APC MR;0.5625;0.41;9.3;0.6422;0.0834;0.053;0.004;0.079;0.098;8;0.082571843;0.051891969;0
2235;APC MR;APC MR;0.5625;0.44;9.9;0.6643;0.0785;0.0517;0.004;0.077;0.092;8;0.077636578;0.050119513;0
2236;APC MR;APC MR;0.5625;0.47;10.6;0.6834;0.0735;0.0502;0.004;0.075;0.086;8;0.072517338;0.048124756;0
2237;APC MR;APC MR;0.5625;0.5;11.3;0.6998;0.0692;0.049;0.003;0.073;0.081;8;0.067217529;0.0459077;0
2238;APC MR;APC MR;0.5625;0.53;11.9;0.7139;0.0647;0.0476;0.003;0.071;0.076;8;0.061740561;0.043468344;0
2239;APC MR;APC MR;0.5625;0.55;12.6;0.7268;0.0609;0.0465;0.003;0.069;0.072;8;0.057992511;0.041718606;0
2240;APC MR;APC MR;0.5625;0.58;13.3;0.7366;0.0555;0.044;0.003;0.066;0.065;8;0.052227852;0.03890875;0
2241;APC MR;APC MR;0.5625;0.61;13.9;0.7438;0.0499;0.0411;0.003;0.061;0.059;8;0.046295123;0.035876594;0
2242;APC MR;APC MR;0.5625;0.64;14.6;0.7482;0.0442;0.0379;0.003;0.057;0.052;8;0.040197732;0.032622138;0
2243;APC MR;APC MR;0.5625;0.67;15.2;0.7488;0.0382;0.0342;0.002;0.051;0.045;8;0.033939088;0.029145381;0
2244;APC MR;APC MR;0.5625;0.7;15.9;0.7432;0.0321;0.0303;0.002;0.045;0.038;8;0.027522599;0.025446325;0
2245;APC MR;APC MR;0.5625;0.73;16.6;0.7276;0.0259;0.0259;0.002;0.039;0.03;8;0.020951675;0.021524969;0
2246;APC MR;APC MR;0.5625;0.76;17.2;0.6924;0.0195;0.0214;0.002;0.032;0.023;8;0.014229722;0.017381313;0
2247;APC MR;APC MR;0.5625;0.79;17.9;0.6134;0.0131;0.0168;0.001;0.025;0.015;8;0.00736015;0.013015356;0
2248;APC MR;APC MR;0.5625;0.82;18.6;0.4373;0.0065;0.0122;0.001;0.018;0.008;8;0.000346368;0.0084271;0
2249;APC MR;APC MR;0.5625;0.85;19.2;0.01;0.0001;0.0078;0.001;0.012;0;8;-0.006808217;0.003616544;0
2250;APC MR;APC MR;0.5625;0;0;0;0.1203;0.0516;0.009;0.137;0.251;8;0.129797998;0.053836138;0
2251;APC MR;APC MR;0.5625;0.03;0.9;0.0651;0.1193;0.0524;0.009;0.139;0.249;8;0.127718682;0.055101781;0
2252;APC MR;APC MR;0.5625;0.06;1.7;0.1272;0.1182;0.0531;0.009;0.141;0.247;8;0.125408808;0.056145125;0
2253;APC MR;APC MR;0.5625;0.09;2.6;0.1862;0.1169;0.0539;0.009;0.143;0.244;8;0.122871783;0.056966169;0
2254;APC MR;APC MR;0.5625;0.11;3.5;0.2421;0.1155;0.0546;0.009;0.145;0.241;8;0.121055922;0.057390031;0
2255;APC MR;APC MR;0.5625;0.14;4.3;0.2949;0.1138;0.0552;0.009;0.147;0.238;8;0.118147887;0.057840575;0
2256;APC MR;APC MR;0.5625;0.17;5.2;0.3447;0.112;0.0557;0.009;0.148;0.234;8;0.115021791;0.058068819;0
2257;APC MR;APC MR;0.5625;0.2;6.1;0.3913;0.1099;0.0562;0.009;0.149;0.229;8;0.111681043;0.058074763;0
2258;APC MR;APC MR;0.5625;0.23;6.9;0.435;0.1074;0.0565;0.01;0.15;0.224;8;0.108129051;0.057858406;0
2259;APC MR;APC MR;0.5625;0.26;7.8;0.4758;0.1047;0.0566;0.01;0.15;0.218;8;0.104369222;0.05741975;0
2260;APC MR;APC MR;0.5625;0.29;8.7;0.5136;0.1015;0.0565;0.01;0.15;0.212;8;0.100404967;0.056758794;0
2261;APC MR;APC MR;0.5625;0.31;9.5;0.5484;0.0981;0.0562;0.009;0.15;0.205;8;0.097650242;0.056194656;0
2262;APC MR;APC MR;0.5625;0.34;10.4;0.5801;0.0942;0.0557;0.009;0.148;0.197;8;0.093352849;0.0551632;0
