TYPE;Model;BETA;J_adv-ratio;V_mph;Efficiency;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*
APC MR;APC MR;0.45;0.47;31.3;0.7184;0.048;0.0315;0.087;0.782;0.748;10;0.048449337;0.031098828
APC MR;APC MR;0.45;0.5;32.8;0.7258;0.0431;0.0294;0.081;0.731;0.673;10;0.04253809;0.028626993
APC MR;APC MR;0.45;0.52;34.4;0.7292;0.0381;0.0271;0.075;0.673;0.595;10;0.038477615;0.026855603
APC MR;APC MR;0.45;0.54;36;0.7277;0.0329;0.0246;0.068;0.61;0.514;10;0.034322603;0.024985413
APC MR;APC MR;0.45;0.57;37.5;0.7182;0.0277;0.0218;0.06;0.542;0.432;10;0.027915038;0.021994878
APC MR;APC MR;0.45;0.59;39.1;0.6961;0.0223;0.0189;0.052;0.469;0.348;10;0.023528102;0.019877688
APC MR;APC MR;0.45;0.61;40.7;0.6524;0.0169;0.0159;0.044;0.394;0.263;10;0.019050164;0.017661698
APC MR;APC MR;0.45;0.64;42.2;0.5658;0.0113;0.0127;0.035;0.317;0.177;10;0.012164837;0.014152463
APC MR;APC MR;0.45;0.66;43.8;0.3894;0.0057;0.0097;0.027;0.24;0.089;10;0.007463812;0.011689473
APC MR;APC MR;0.45;0.68;45.4;0.0005;0;0.0068;0.019;0.168;0;10;0.00267532;0.009127682
APC MR;APC MR;0.45;0;0;0;0.1132;0.0421;0.173;1.366;2.309;10;0.110371465;0.040801743
APC MR;APC MR;0.45;0.02;1.8;0.0622;0.1118;0.0426;0.175;1.382;2.28;10;0.109002636;0.041500353
APC MR;APC MR;0.45;0.05;3.6;0.1214;0.1102;0.043;0.177;1.396;2.247;10;0.106725111;0.042363018
APC MR;APC MR;0.45;0.07;5.4;0.1777;0.1084;0.0434;0.179;1.407;2.21;10;0.105058714;0.042814628
APC MR;APC MR;0.45;0.09;7.2;0.2311;0.1064;0.0436;0.18;1.415;2.168;10;0.103275056;0.043167438
APC MR;APC MR;0.45;0.12;9;0.2818;0.1041;0.0437;0.18;1.419;2.122;10;0.100381916;0.043511403
APC MR;APC MR;0.45;0.14;10.8;0.3298;0.1016;0.0438;0.18;1.42;2.071;10;0.098309526;0.043617213
APC MR;APC MR;0.45;0.17;12.6;0.3751;0.0989;0.0437;0.18;1.418;2.016;10;0.094988022;0.043590678
APC MR;APC MR;0.45;0.19;14.4;0.4178;0.096;0.0435;0.179;1.412;1.957;10;0.092633213;0.043449488
APC MR;APC MR;0.45;0.21;16.1;0.458;0.0929;0.0432;0.178;1.402;1.893;10;0.090167203;0.043209498
APC MR;APC MR;0.45;0.24;17.9;0.4957;0.0896;0.0428;0.176;1.388;1.826;10;0.086261896;0.042664263
APC MR;APC MR;0.45;0.26;19.7;0.531;0.086;0.0422;0.174;1.369;1.754;10;0.083522303;0.042177273
APC MR;APC MR;0.45;0.28;21.5;0.5638;0.0823;0.0415;0.171;1.346;1.678;10;0.080675045;0.041591483
APC MR;APC MR;0.45;0.31;23.3;0.5942;0.0784;0.0406;0.167;1.318;1.598;10;0.076204492;0.040527548
APC MR;APC MR;0.45;0.33;25.1;0.6221;0.0744;0.0396;0.163;1.287;1.517;10;0.073092487;0.039694758
APC MR;APC MR;0.45;0.36;26.9;0.6476;0.0702;0.0385;0.159;1.249;1.431;10;0.06822955;0.038260323
APC MR;APC MR;0.45;0.38;28.7;0.6707;0.0659;0.0372;0.153;1.208;1.344;10;0.06485911;0.037180533
APC MR;APC MR;0.45;0.4;30.5;0.6909;0.0615;0.0358;0.148;1.163;1.254;10;0.061387065;0.036001943
APC MR;APC MR;0.45;0.43;32.3;0.7084;0.057;0.0343;0.141;1.112;1.161;10;0.055990694;0.034048808
APC MR;APC MR;0.45;0.45;34.1;0.7235;0.0522;0.0325;0.134;1.054;1.065;10;0.052269051;0.032623218
APC MR;APC MR;0.45;0.47;35.9;0.7351;0.0474;0.0306;0.126;0.991;0.967;10;0.048449337;0.031098828
APC MR;APC MR;0.45;0.5;37.7;0.7421;0.0425;0.0285;0.117;0.924;0.866;10;0.04253809;0.028626993
APC MR;APC MR;0.45;0.52;39.5;0.7453;0.0374;0.0262;0.108;0.849;0.763;10;0.038477615;0.026855603
APC MR;APC MR;0.45;0.54;41.3;0.743;0.0323;0.0237;0.098;0.769;0.659;10;0.034322603;0.024985413
APC MR;APC MR;0.45;0.57;43.1;0.7325;0.0271;0.021;0.087;0.683;0.553;10;0.027915038;0.021994878
APC MR;APC MR;0.45;0.59;44.9;0.7088;0.0218;0.0182;0.075;0.592;0.445;10;0.023528102;0.019877688
APC MR;APC MR;0.45;0.62;46.6;0.6634;0.0165;0.0154;0.063;0.498;0.337;10;0.016777385;0.016516653
APC MR;APC MR;0.45;0.64;48.4;0.5734;0.0111;0.0124;0.051;0.402;0.227;10;0.012164837;0.014152463
