TYPE;Model;Kv_rpm_v;Pole_number;Io_A;R_ohm;Mass_g;Imax_A;No_s;Voltage;Kt_Nm_A;Tnom_Nm;Eta_efficiency;Icc_A;I_opt_A;Cf_Nm;Tmax_Nm;Estim -->;Mass_SL_g;Resistance_SL_ohm;Cf_SL_Nm
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;1610;2;0.0535;0.198;19;1.35;4.864864865;18;0.00592;0.00224;94.61088704;90.90909091;2.205365358;0.00031672;0.008007174;;14.11379856;47312.46048;0.00040442
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;1200;2;0.0398;0.357;19;0.973;6.486486486;24;0.00794;0.00221;94.52142307;67.22689076;1.635735386;0.000316012;0.007742888;;13.95162212;86763.78209;0.000400544
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;4100;2;0.198;0.0103;29;9.31;1.621621622;6;0.00233;0.00515;96.3090279;582.5242718;10.73963714;0.00046134;0.021683891;;28.81056728;2231.160458;0.000732976
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;2730;2;0.132;0.0233;29;7.85;2.432432432;9;0.00349;0.00564;96.32036689;386.2660944;7.140526904;0.00046068;0.0274586;;31.14474972;4396.240305;0.000782139
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;2050;2;0.0989;0.0413;29;5.1;3.243243243;12;0.00466;0.00513;96.3395724;290.5569007;5.360604209;0.000460874;0.023756787;;28.71463861;8974.388934;0.000730942
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;1410;2;0.0689;0.0879;29;4.24;4.864864865;18;0.0068;0.00553;96.33811283;204.778157;3.756223505;0.00046852;0.028715615;;30.62336203;17165.97027;0.000771212
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;1020;2;0.0495;0.165;29;2.67;6.486486486;24;0.00932;0.00518;96.34447367;145.4545455;2.683281573;0.00046134;0.024996688;;28.95436059;35403.57934;0.000736023
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;751;2;0.0382;0.308;29;2.38;9.72972973;36;0.0127;0.00538;96.39141798;116.8831169;2.113039296;0.00048514;0.030262751;;29.90998087;62275.78275;0.000756212
maxon EC ;EC 13 ?13 mm, brushless, 30 Watt;5480;2;0.171;0.018;37;34.5;3.243243243;12;0.00174;0.00463;94.35499783;666.6666667;10.67707825;0.00029754;0.060118747;;26.29839958;1448.621551;0.000679315
maxon EC ;EC 13 ?13 mm, brushless, 30 Watt;2740;2;0.0856;0.072;37;18.4;6.486486486;24;0.00349;0.00463;94.04046261;333.3333333;5.341660166;0.000298744;0.064126663;;26.29839958;5827.835697;0.000679315
maxon EC ;EC 13 ?13 mm, brushless, 30 Watt;1590;2;0.054;0.213;37;11.4;12.97297297;48;0.00599;0.00412;94.49152829;225.3521127;3.488411398;0.00032346;0.068466655;;23.79502055;20282.21971;0.000624983
maxon EC ;EC 13 ?13 mm, brushless, 50 Watt;6140;2;0.27;0.007;44;74.8;3.243243243;12;0.00155;0.00691;95.2914541;1714.285714;21.51411497;0.0004185;0.11633345;;37.06670141;648.7770453;0.000904239
maxon EC ;EC 13 ?13 mm, brushless, 50 Watt;3070;2;0.135;0.026;44;46.8;6.486486486;24;0.00311;0.00717;94.65616346;923.0769231;11.16312611;0.00041985;0.145572339;;38.25898648;2477.633065;0.000928413
maxon EC ;EC 13 ?13 mm, brushless, 50 Watt;1540;2;0.0676;0.104;44;24.5;12.97297297;48;0.00622;0.00717;94.43039497;461.5384615;5.585696018;0.000420472;0.151920627;;38.25898648;9910.532259;0.000928413
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;3760;2;0.397;0.0235;34;29.8;3.243243243;12;0.00254;0.00785;92.90969773;510.6382979;14.23809693;0.00100838;0.075683255;;41.34875731;1452.006772;0.000990486
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;2380;2;0.241;0.059;34;19.4;4.864864865;18;0.00402;0.00801;92.47783751;305.0847458;8.574696714;0.00096882;0.077838804;;42.07009417;3533.742862;0.001004865
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;1810;2;0.185;0.102;34;15.6;6.486486486;24;0.00529;0.00809;92.26272756;235.2941176;6.597682302;0.00097865;0.08230333;;42.42998883;6032.932414;0.001012024
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;1290;2;0.139;0.2;34;11.1;9.72972973;36;0.0074;0.00756;92.6583033;180;5.0019996;0.0010286;0.082168366;;40.03593812;13005.25091;0.00096421
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;836;2;0.0808;0.477;34;6.35;12.97297297;48;0.0114;0.00787;92.49754156;100.6289308;2.851458856;0.00092112;0.072533533;;41.43903845;29142.86415;0.000992288
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;3120;2;0.327;0.02;58;51.4;3.243243243;12;0.00306;0.0172;90.85164656;600;14.00714104;0.00100062;0.15731854;;80.99453391;687.2086969;0.001734508
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;2420;2;0.272;0.033;58;52;4.864864865;18;0.00394;0.0169;89.99345641;545.4545455;12.18046125;0.00107168;0.205191497;;79.78213348;1168.30171;0.001712844
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;1820;2;0.204;0.059;58;42.2;6.486486486;24;0.00525;0.017;89.19257101;406.779661;9.109503326;0.001071;0.221417756;;80.18660595;2056.936411;0.001720078
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;1360;2;0.153;0.104;58;32.8;8.648648649;32;0.007;0.017;88.92326159;307.6923077;6.861262499;0.001071;0.230306565;;80.18660595;3656.775842;0.001720078
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;873;2;0.0962;0.254;58;20.5;12.97297297;48;0.0109;0.0171;88.73372087;188.976378;4.263745719;0.00104858;0.224238923;;80.59073867;8792.581722;0.001727299
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;2550;2;0.238;0.0182;85;49.1;3.243243243;12;0.00375;0.0209;92.10453828;659.3406593;12.52689415;0.0008925;0.18387077;;95.71616442;781.3141723;0.001993506
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;1470;2;0.144;0.0546;85;37.4;6.486486486;24;0.00649;0.0207;91.13923326;439.5604396;7.95592253;0.00093456;0.242954893;;94.93053082;2372.565384;0.001979861
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;882;2;0.0833;0.152;85;20.4;9.72972973;36;0.0108;0.0204;91.01350444;236.8421053;4.441727971;0.00089964;0.220868084;;93.75004201;6708.627904;0.001959323
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;716;2;0.0693;0.231;85;17.7;12.97297297;48;0.0133;0.0201;91.1237002;207.7922078;3.794733192;0.00092169;0.236065013;;92.56707048;10391.56745;0.001938698
maxon EC ;EC 22 ?22 mm, brushless, 100 Watt;1730;2;0.373;0.0178;128;116;4.864864865;18;0.00553;0.0493;88.24422272;1011.235955;19.42140601;0.00206269;0.640299655;;199.7298485;498.6363711;0.003679869
maxon EC ;EC 22 ?22 mm, brushless, 100 Watt;1230;2;0.257;0.035;128;89.1;6.486486486;24;0.00775;0.0485;86.75528921;685.7142857;13.27511098;0.00199175;0.691741728;;196.9485636;1002.506862;0.003637116
maxon EC ;EC 22 ?22 mm, brushless, 100 Watt;672;2;0.149;0.118;128;60.2;12.97297297;48;0.0142;0.0476;84.98995419;406.779661;7.785253335;0.0021158;0.855457819;;193.8117684;3456.859753;0.003588778
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;278;2;0.0639;0.626;210;13.4;12.97297297;48;0.0344;0.0579;82.13063725;76.67731629;2.213522196;0.00219816;0.460289835;;229.2443643;15335.25789;0.004127737
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;285;2;0.0534;0.626;210;10.3;12.97297297;48;0.0335;0.044;86.11827923;76.67731629;2.023504062;0.0017889;0.345114929;;181.1778285;21527.1486;0.003392741
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;290;2;0.0549;0.626;210;8.98;12.97297297;48;0.0329;0.0324;87.74882351;76.67731629;2.051727239;0.00180621;0.295698908;;139.3747795;32148.20916;0.00272657
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;296;2;0.0565;0.626;210;7.93;12.97297297;48;0.0323;0.0149;89.01915951;76.67731629;2.081410188;0.00182495;0.255830817;;71.6175661;93996.37251;0.001565475
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;278;2;0.384;0.626;210;13.4;12.97297297;48;0.0344;0.149;80.15929502;76.67731629;5.426240822;0.0132096;0.460289835;;515.4213626;3974.216349;0.008108338
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;285;2;0.177;0.626;210;10.3;12.97297297;48;0.0335;0.12;85.07947423;76.67731629;3.684003934;0.0059295;0.345114929;;428.1408641;5134.724226;0.00694681
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;290;2;0.183;0.626;210;8.98;12.97297297;48;0.0329;0.0922;86.48938392;76.67731629;3.745924303;0.0060207;0.295698908;;341.5752562;7216.38624;0.005754865
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;296;2;0.188;0.626;210;7.93;12.97297297;48;0.0323;0.0558;87.53239766;76.67731629;3.796753279;0.0060724;0.255830817;;222.0988732;14252.786;0.004020238
maxon EC ;EC 25 ?25 mm, brushless, 250 Watt;1780;2;0.242;0.014;240;294;9.72972973;36;0.00536;0.0351;88.49376485;2571.428571;24.94565522;0.00129712;1.577243369;;149.2726643;761.0871981;0.002887
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;1280;2;0.662;0.03;270;57.2;3.243243243;12;0.00748;0.0446;84.70815734;400;16.27267649;0.00495176;0.426734191;;183.2934394;1052.681457;0.003425723
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;806;2;0.404;0.0752;270;37.4;4.864864865;18;0.0118;0.0452;83.46367943;239.3617021;9.833723998;0.0047672;0.443106318;;185.4049883;2570.200293;0.003458579
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;737;2;0.349;0.09;270;31.4;4.864864865;18;0.013;0.0459;83.36303503;200;8.35463943;0.004537;0.406849271;;187.8634099;3051.792595;0.003496753
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;465;2;0.199;0.226;270;17.3;6.486486486;24;0.0205;0.0472;82.74626932;106.1946903;4.597036367;0.0040795;0.355274905;;192.4149246;7292.029926;0.003567211
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;414;2;0.211;0.285;270;19.7;9.72972973;36;0.0231;0.0438;83.50014234;126.3157895;5.162618675;0.0048741;0.454398895;;180.4717113;10302.61278;0.003381718
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;239;2;0.104;0.856;270;8.84;12.97297297;48;0.04;0.0459;83.24432941;56.07476636;2.414906976;0.00416;0.353204108;;187.8634099;28892.71096;0.003496753
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;659;2;0.617;0.0329;580;181;4.054054054;15;0.0145;0.171;60.09511136;455.9270517;16.77220888;0.0089465;2.622796179;;580;580;0.0089465
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;412;2;0.386;0.0843;580;115;6.486486486;24;0.0232;0.165;59.40618033;284.6975089;10.48299759;0.0089552;2.665458998;;562.5120771;1562.529395;0.008721136
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;241;2;0.23;0.246;580;69.1;11.35135135;42;0.0396;0.161;59.3290062;170.7317073;6.266441788;0.009108;2.737993336;;550.8030851;4714.855749;0.008569592
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;206;2;0.193;0.337;580;59.6;12.97297297;48;0.0464;0.165;57.96750991;142.4332344;5.243053904;0.0089552;2.762806197;;562.5120771;6250.117581;0.008721136
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;827;2;1.53;0.0266;850;119;3.243243243;12;0.0115;0.174;72.67510238;451.1278195;26.27214426;0.017595;1.37408258;;588.7109473;355.874994;0.009058333
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;478;2;0.577;0.0797;850;43.6;3.243243243;12;0.02;0.186;70.102163;150.5646173;9.320718008;0.01154;0.871023705;;623.3445071;978.5546274;0.009500285
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;579;2;1.12;0.0542;850;93.3;4.864864865;18;0.0165;0.171;71.04314905;332.103321;19.28615357;0.01848;1.538772662;;580;751.0344828;0.0089465
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;334;2;0.419;0.163;850;32.6;4.864864865;18;0.0286;0.184;69.57304059;110.4294479;6.802201015;0.0119834;0.932057092;;617.5949657;2032.19073;0.009427205
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;445;2;0.879;0.0917;850;74.8;6.486486486;24;0.0214;0.169;70.58088423;261.7230098;15.16754844;0.0188106;1.60514019;;574.1805843;1284.750179;0.008871633
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;257;2;0.328;0.275;850;25.6;6.486486486;24;0.0371;0.183;69.76125;87.27272727;5.350276119;0.0121688;0.951213979;;614.7168514;3446.364963;0.00939058
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;263;2;0.471;0.263;850;43.1;9.72972973;36;0.0363;0.179;67.7643398;136.8821293;8.029413608;0.0170973;1.564922748;;603.1817754;3405.165383;0.009243505
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;152;2;0.177;0.788;850;14.5;9.72972973;36;0.0628;0.191;67.42785479;45.68527919;2.843641049;0.0111156;0.910952635;;637.6799839;9289.377755;0.009682009
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;214;2;0.411;0.395;850;37.2;12.97297297;48;0.0445;0.174;68.62088004;121.5189873;7.067128398;0.0182895;1.659971182;;588.7109473;5328.706668;0.009058333
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;124;2;0.154;1.19;850;12.5;12.97297297;48;0.0771;0.187;68.16020833;40.33613445;2.49234121;0.0118734;0.962630704;;626.2159616;14431.3573;0.00953674
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;364;2;0.897;0.0565;1150;167;6.486486486;24;0.0263;0.311;60.35945967;424.7787611;19.51990135;0.0235911;4.381133324;;968.4631256;811.9170461;0.013715103
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;210;2;0.341;0.17;1150;55.8;6.486486486;24;0.0455;0.331;60.10543056;141.1764706;6.938384284;0.0155155;2.537384521;;1021.607079;2223.07927;0.014339469
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;291;2;0.834;0.0883;1150;175;9.72972973;36;0.0328;0.312;56.80437913;407.7010193;18.43970309;0.0273552;5.742704132;;971.1316813;1257.060351;0.013746589
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;168;2;0.312;0.265;1150;58.3;9.72972973;36;0.0569;0.341;56.77922594;135.8490566;6.510369088;0.0177528;3.313833279;;1048.005718;3331.888227;0.014647591
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;224;2;0.656;0.149;1150;143;12.97297297;48;0.0427;0.316;55.35530874;322.147651;14.53715443;0.0280112;6.096202731;;981.7937328;2091.99497;0.013872244
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;129;2;0.244;0.448;1150;47.7;12.97297297;48;0.0739;0.347;55.19620294;107.1428571;5.113008619;0.0180316;3.53101897;;1063.791686;5481.926426;0.014831224
maxon EC ;EC 60 ?60 mm, brushless, 400 Watt;113;2;0.67;0.273;2450;139;12.97297297;48;0.0849;0.768;20.84279811;175.8241758;10.85367209;0.056883;11.74647987;;2101.832425;2325.718851;0.026159428
maxon EC ;EC 60 ?60 mm, brushless, 400 Watt;65;2;0.268;0.82;2450;46.4;12.97297297;48;0.147;0.843;20.61358046;58.53658537;3.960783367;0.039396;6.81672864;;2276.58324;6103.338033;0.027959718
