,,,description,filename,unit,abbreviation,num_cfs
"ReCiPe 2016 v1.03, endpoint (E) no LT",natural resources no LT,"energy resources: non-renewable, fossil no LT",,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-e-no-ltne.d11cc384b9d5156baf2d0c2146b49988,6
"ReCiPe 2016 v1.03, endpoint (E) no LT",natural resources no LT,material resources: metals/minerals no LT,,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-e-no-ltnm.adb48904fe108eb287429ce657aaf4a5,149
"ReCiPe 2016 v1.03, endpoint (E) no LT",total: ecosystem quality no LT,ecosystem quality no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-e-no-ltte.3be6c082aa99f73aca346ef91d3cc780,1819
"ReCiPe 2016 v1.03, endpoint (E) no LT",total: human health no LT,human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-e-no-ltth.d158a109eff65d801a52b80eb9a7f249,1539
"ReCiPe 2016 v1.03, endpoint (E) no LT",total: natural resources no LT,natural resources no LT,,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-e-no-lttn.261a09c1d697df88ff5b35db9eaffcde,159
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,acidification: terrestrial,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eea.fdde1681653a45c6db5fee280f61824e,29
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,climate change: freshwater ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eec.6918c6484ee124dd4547f08e7297de1d,155
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,climate change: terrestrial ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eec.d4fec82621ac30fb9e86fc639ad42cc2,155
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: freshwater,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eee.7b81eb4479357b1b01731a5bb32e9e2e,1760
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: marine,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eee.40bbcc29f70d258b947b7fbd7af67d8f,1760
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,ecotoxicity: terrestrial,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eee.a5ac565ac133da9b095fd547e8ef2148,1757
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,eutrophication: freshwater,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eee.39265e898bb1e1d47b9888d117c76ec5,13
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,eutrophication: marine,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eee.14e6857940d2d44cd8b31a5685b395b7,22
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,land use,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eel.d25f4773e74a5e1628b90c03ffc8c3e9,51
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,photochemical oxidant formation: terrestrial ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eep.fbfa9bf2b15ed268e1b6ca524dc9fb42,178
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,water use: aquatic ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eew.73d9d34fbde0639c7e6f5f4c4b03a5d1,5
"ReCiPe 2016 v1.03, endpoint (E)",ecosystem quality,water use: terrestrial ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-eew.10bde0b817aa1d9c3328afc94b0ce026,5
"ReCiPe 2016 v1.03, endpoint (E)",human health,climate change: human health,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ehc.4d912443e239a7d831844cdfad692440,155
"ReCiPe 2016 v1.03, endpoint (E)",human health,human toxicity: carcinogenic,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ehh.1c7e7eacb466f318405ee8d707e88d06,542
"ReCiPe 2016 v1.03, endpoint (E)",human health,human toxicity: non-carcinogenic,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ehh.520a1b6b7e44d5365208b5ec28daff66,1184
"ReCiPe 2016 v1.03, endpoint (E)",human health,ionising radiation,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ehi.0a3912f94ed0e116e85519be1f9c350d,253
"ReCiPe 2016 v1.03, endpoint (E)",human health,ozone depletion,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-eho.720a346fb2e9d0e1b300386a0621f2b4,57
"ReCiPe 2016 v1.03, endpoint (E)",human health,particulate matter formation,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ehp.23fab9348227293fccdb5084b429793d,32
"ReCiPe 2016 v1.03, endpoint (E)",human health,photochemical oxidant formation: human health,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ehp.f235cb113e1e1ea00d1a794aaf3f5a74,178
"ReCiPe 2016 v1.03, endpoint (E)",human health,water use: human health,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ehw.764a7a580f23577c240c76c3719dae41,5
"ReCiPe 2016 v1.03, endpoint (E)",natural resources,"energy resources: non-renewable, fossil",,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-ene.889d0b6aa9347d17321a9f9869b5928a,6
"ReCiPe 2016 v1.03, endpoint (E)",natural resources,material resources: metals/minerals,,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-enm.2b3a2fb1e5ad09e54b513cc8f2a32b09,149
"ReCiPe 2016 v1.03, endpoint (E)",total: ecosystem quality,ecosystem quality,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-ete.a6b212f0b832b38918060ea628c37bc9,2091
"ReCiPe 2016 v1.03, endpoint (E)",total: human health,human health,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-eth.36793640a1b40f7ea79a24eab1d7e2b1,1803
"ReCiPe 2016 v1.03, endpoint (E)",total: natural resources,natural resources,,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-etn.a16ced15e6c6fe3354ad38e5cadec2ae,160
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,acidification: terrestrial no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltea.44cc02ff0928093f42a8098afb242116,24
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,climate change: freshwater ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltec.74aa7e38628afa34d2a9532c39425a98,131
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,climate change: terrestrial ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltec.45a98e980cdee7d8123b0f769ea1a2f7,131
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,ecotoxicity: freshwater no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltee.a6392b0837bf7db564fb7fe72350f451,1538
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,ecotoxicity: marine no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltee.a5c16ef1f8096c7b879da310e172cf59,1538
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,ecotoxicity: terrestrial no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltee.81370bb7be986d09347386cd1c172cdd,1535
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,eutrophication: freshwater no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltee.766e3e00161ebc13cb0d1e57f6d49535,11
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,eutrophication: marine no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltee.1037d6bad0b576c06f7d7ca722e45db0,18
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,land use no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltel.86d560e3cdc118610451146c905debee,51
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,photochemical oxidant formation: terrestrial ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltep.da05ec991466ff2f9e6ec9f5c510e5a1,162
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,water use: aquatic ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltew.32995ac2c9984eb7b188fbc602c8197d,4
"ReCiPe 2016 v1.03, endpoint (H) no LT",ecosystem quality no LT,water use: terrestrial ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltew.d25994c52d4ca1e8221984565da4b8a5,4
"ReCiPe 2016 v1.03, endpoint (H) no LT",human health no LT,climate change: human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-h-no-lthc.563f0afe455b7501782e171fda657545,131
"ReCiPe 2016 v1.03, endpoint (H) no LT",human health no LT,human toxicity: carcinogenic no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-h-no-lthh.4aabf821599032329bb42288909c48f0,453
"ReCiPe 2016 v1.03, endpoint (H) no LT",human health no LT,human toxicity: non-carcinogenic no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-h-no-lthh.d96092c3c495c63fca477375d446a563,1034
"ReCiPe 2016 v1.03, endpoint (H) no LT",human health no LT,ionising radiation no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-h-no-lthi.11bd27ddafc05dc01ba6de067c7cde1e,149
"ReCiPe 2016 v1.03, endpoint (H) no LT",human health no LT,ozone depletion no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-h-no-ltho.9b2b4b7a738790f5507b1f82d2b19c36,50
"ReCiPe 2016 v1.03, endpoint (H) no LT",human health no LT,particulate matter formation no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-h-no-lthp.4b3564e32822ae823ce95d0c50f1b7be,26
"ReCiPe 2016 v1.03, endpoint (H) no LT",human health no LT,photochemical oxidant formation: human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-h-no-lthp.681cec75c69b968160d46b0b1d1d84c6,162
"ReCiPe 2016 v1.03, endpoint (H) no LT",human health no LT,water use: human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-h-no-lthw.0f6d9038f5f5177f813e441419402eda,4
"ReCiPe 2016 v1.03, endpoint (H) no LT",natural resources no LT,"energy resources: non-renewable, fossil no LT",,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-h-no-ltne.3dcc64291e52b4a8ad5e9864a5eca597,4
"ReCiPe 2016 v1.03, endpoint (H) no LT",natural resources no LT,material resources: metals/minerals no LT,,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-h-no-ltnm.66529443066520590b91b422343c8de1,149
"ReCiPe 2016 v1.03, endpoint (H) no LT",total: ecosystem quality no LT,ecosystem quality no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-h-no-ltte.b73939cca401cbacc0950f4b539683bf,1819
"ReCiPe 2016 v1.03, endpoint (H) no LT",total: human health no LT,human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-h-no-ltth.b5bca553f159404d4880a1175a9bd80c,1485
"ReCiPe 2016 v1.03, endpoint (H) no LT",total: natural resources no LT,natural resources no LT,,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-h-no-lttn.8007dac1fef619f36b5fdbdf2bf03166,157
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,acidification: terrestrial,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hea.f7ce1a1e3ceed2c677c298717e4eef98,29
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,climate change: freshwater ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hec.831d0a8f5262889e034403d00aeb8e11,155
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,climate change: terrestrial ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hec.f4cd6a33ea66ff996bf47370ed16e312,155
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,ecotoxicity: freshwater,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hee.b287f88bb5f1fff26f43108425e4b8ad,1760
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,ecotoxicity: marine,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hee.33ad145855e11f877e79935ab26317e0,1760
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,ecotoxicity: terrestrial,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hee.c1b57599b250666934346f6c5140c329,1757
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,eutrophication: freshwater,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hee.ba60a981ecfa1e7bd14548638371c375,13
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,eutrophication: marine,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hee.eb3384e8c2c67a192cb41bf17bb9ab3e,22
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,land use,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hel.ff0f977c69b453c8aea5471ba7b6064c,51
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,photochemical oxidant formation: terrestrial ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hep.0a5ec1bfd0fcc016e2aed45047d8eb05,178
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,water use: aquatic ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hew.62ba466ed2ced6e4562695748599c14c,5
"ReCiPe 2016 v1.03, endpoint (H)",ecosystem quality,water use: terrestrial ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hew.f3096a31d819af9b3ccd57f49ce8f1b8,5
"ReCiPe 2016 v1.03, endpoint (H)",human health,climate change: human health,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-hhc.3b03e37527bf981cab002fd01da6fa57,155
"ReCiPe 2016 v1.03, endpoint (H)",human health,human toxicity: carcinogenic,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-hhh.8820ffadaca1122dddcd29f66ea5c277,542
"ReCiPe 2016 v1.03, endpoint (H)",human health,human toxicity: non-carcinogenic,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-hhh.50906bbe0a06110e4faa5be54bf95dd3,1184
"ReCiPe 2016 v1.03, endpoint (H)",human health,ionising radiation,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-hhi.668effd556e2b2fa9c65794ac00db79d,186
"ReCiPe 2016 v1.03, endpoint (H)",human health,ozone depletion,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-hho.2bca4a8db16fec993fcd3009da8306ad,57
"ReCiPe 2016 v1.03, endpoint (H)",human health,particulate matter formation,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-hhp.b19c9e0cede145287eafd85ad6573c03,32
"ReCiPe 2016 v1.03, endpoint (H)",human health,photochemical oxidant formation: human health,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-hhp.42100b85461df2a584a68f58dbea0c53,178
"ReCiPe 2016 v1.03, endpoint (H)",human health,water use: human health,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-hhw.1e20e1b71a00ae0f68bd793fb95069a0,5
"ReCiPe 2016 v1.03, endpoint (H)",natural resources,"energy resources: non-renewable, fossil",,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-hne.bf6445cf8597b36f704a2655641a42fa,4
"ReCiPe 2016 v1.03, endpoint (H)",natural resources,material resources: metals/minerals,,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-hnm.411e8f9b13621158a84d74132997862b,149
"ReCiPe 2016 v1.03, endpoint (H)",total: ecosystem quality,ecosystem quality,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-hte.ce07c23072132d3e163569b5b5b18b21,2091
"ReCiPe 2016 v1.03, endpoint (H)",total: human health,human health,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-hth.278be9bc69932938eb0613f39ff8cf2a,1736
"ReCiPe 2016 v1.03, endpoint (H)",total: natural resources,natural resources,,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-htn.e1f7f31172ff585a2d317f1af04965d5,158
"ReCiPe 2016 v1.03, endpoint (I) no LT",ecosystem quality no LT,acidification: terrestrial no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltea.0d18649cf00aa0b07962a4f617fec235,26
"ReCiPe 2016 v1.03, endpoint (I) no LT",ecosystem quality no LT,climate change: freshwater ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltec.44753501bee2d1b14fa9080dc2298071,131
"ReCiPe 2016 v1.03, endpoint (I) no LT",ecosystem quality no LT,climate change: terrestrial ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltec.56ed6df609e8f59d1f4fc91cced4807d,131
"ReCiPe 2016 v1.03, endpoint (I) no LT",ecosystem quality no LT,ecotoxicity: freshwater no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltee.aa6c6a58f8f3e062b891457893af6300,1234
"ReCiPe 2016 v1.03, endpoint (I) no LT",ecosystem quality no LT,ecotoxicity: marine no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltee.aebae76ed2b1560f7c9e901ff39d6561,1234
"ReCiPe 2016 v1.03, endpoint (I) no LT",ecosystem quality no LT,ecotoxicity: terrestrial no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltee.f595b1c3168e0da73af603b815c0f3b9,1231
"ReCiPe 2016 v1.03, endpoint (I) no LT",ecosystem quality no LT,eutrophication: freshwater no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltee.55f2d0fce37a21ed9eb1f3fffe5fc2b9,11
"ReCiPe 2016 v1.03, endpoint (I) no LT",ecosystem quality no LT,eutrophication: marine no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltee.b9493f3d7aa3d581e44a63d7b5afdcae,18
"ReCiPe 2016 v1.03, endpoint (I) no LT",ecosystem quality no LT,land use no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltel.f743cff63212f5bc0f9f0808df930f39,51
"ReCiPe 2016 v1.03, endpoint (I) no LT",ecosystem quality no LT,photochemical oxidant formation: terrestrial ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltep.85933ada1584035df9f1f83f73960675,168
"ReCiPe 2016 v1.03, endpoint (I) no LT",ecosystem quality no LT,water use: aquatic ecosystems no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltew.b35b7994e99f5678b9e4737fb7bb133f,4
"ReCiPe 2016 v1.03, endpoint (I) no LT",human health no LT,climate change: human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-i-no-lthc.7cc2ec209674f1bceef7a1834b4f7868,131
"ReCiPe 2016 v1.03, endpoint (I) no LT",human health no LT,human toxicity: carcinogenic no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-i-no-lthh.67cc97d33e53ed1a244ec88a0d11e954,274
"ReCiPe 2016 v1.03, endpoint (I) no LT",human health no LT,human toxicity: non-carcinogenic no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-i-no-lthh.a33ac9fe6c846a4e50d68d64b24e002b,1034
"ReCiPe 2016 v1.03, endpoint (I) no LT",human health no LT,ionising radiation no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-i-no-lthi.7e889f1b1031ba5e11ad1b420c97cb1f,145
"ReCiPe 2016 v1.03, endpoint (I) no LT",human health no LT,ozone depletion no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-i-no-ltho.844015653f01f499eab39dd4c97f523a,50
"ReCiPe 2016 v1.03, endpoint (I) no LT",human health no LT,particulate matter formation no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-i-no-lthp.9353b9c3b90538648f0a7f0c98af3aa4,4
"ReCiPe 2016 v1.03, endpoint (I) no LT",human health no LT,photochemical oxidant formation: human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-i-no-lthp.9cde8f0d75f7715460d5df63707ac0b9,168
"ReCiPe 2016 v1.03, endpoint (I) no LT",human health no LT,water use: human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-i-no-lthw.ba2296c4493b69ec1de25cff0b5caf34,4
"ReCiPe 2016 v1.03, endpoint (I) no LT",natural resources no LT,"energy resources: non-renewable, fossil no LT",,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-i-no-ltne.099824793e17bb55ab20f7594813c6db,4
"ReCiPe 2016 v1.03, endpoint (I) no LT",natural resources no LT,material resources: metals/minerals no LT,,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-i-no-ltnm.ec62ac8f0cfd73d5628f2d8add993cf2,149
"ReCiPe 2016 v1.03, endpoint (I) no LT",total: ecosystem quality no LT,ecosystem quality no LT,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-i-no-ltte.1cfd0e5496502f6f9ceb03d20412bed1,1533
"ReCiPe 2016 v1.03, endpoint (I) no LT",total: human health no LT,human health no LT,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-i-no-ltth.bdccc60bc8f4c1a91246fece6f042625,1435
"ReCiPe 2016 v1.03, endpoint (I) no LT",total: natural resources no LT,natural resources no LT,,LCIA_Implementation_3.9.xlsx,USD 2013,recipe-2016-v103-endpoint-i-no-lttn.8615eaf93773b30f1c6041d0327cbe77,153
"ReCiPe 2016 v1.03, endpoint (I)",ecosystem quality,acidification: terrestrial,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-iea.74ec077a987f1b7858fd524e1b30bc8c,32
"ReCiPe 2016 v1.03, endpoint (I)",ecosystem quality,climate change: freshwater ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-iec.d34ee269382038f2cc095a4c90b73935,155
"ReCiPe 2016 v1.03, endpoint (I)",ecosystem quality,climate change: terrestrial ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-iec.44395c8f6bdcc30fc6ea67529f0e2a10,155
"ReCiPe 2016 v1.03, endpoint (I)",ecosystem quality,ecotoxicity: freshwater,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-iee.0a48970bbd8b3c868e9e31d2b8abcdc1,1412
"ReCiPe 2016 v1.03, endpoint (I)",ecosystem quality,ecotoxicity: marine,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-iee.0ca08e9700bc22a4d672bded6656d953,1412
"ReCiPe 2016 v1.03, endpoint (I)",ecosystem quality,ecotoxicity: terrestrial,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-iee.8d0c6877929f485f65dc3b7d20cb7804,1409
"ReCiPe 2016 v1.03, endpoint (I)",ecosystem quality,eutrophication: freshwater,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-iee.267f360d51090e7984169b38917b2359,13
"ReCiPe 2016 v1.03, endpoint (I)",ecosystem quality,eutrophication: marine,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-iee.7ddaf5e261723881b80249c1af60958e,22
"ReCiPe 2016 v1.03, endpoint (I)",ecosystem quality,land use,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-iel.41d8405c27d1a3d4ab3b1581d062ce9c,51
"ReCiPe 2016 v1.03, endpoint (I)",ecosystem quality,photochemical oxidant formation: terrestrial ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-iep.7da88abc32ffa19b33ded2844f551cc9,187
"ReCiPe 2016 v1.03, endpoint (I)",ecosystem quality,water use: aquatic ecosystems,,LCIA_Implementation_3.9.xlsx,species.yr,recipe-2016-v103-endpoint-iew.8f5098ceabe1db4abd909781037efa9c,5
"ReCiPe 2016 v1.03, endpoint (I)",human health,climate change: human health,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ihc.35cacc5fb4842468b5911f1c1e90bbd0,155
"ReCiPe 2016 v1.03, endpoint (I)",human health,human toxicity: carcinogenic,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ihh.2fd3410899aeda67574795039d3ce0b5,332
"ReCiPe 2016 v1.03, endpoint (I)",human health,human toxicity: non-carcinogenic,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ihh.1753fdb1118e29b45744c2f67a3bd9a2,1184
"ReCiPe 2016 v1.03, endpoint (I)",human health,ionising radiation,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ihi.5a257e0f6d7804c1f9c1f54852fddf73,181
"ReCiPe 2016 v1.03, endpoint (I)",human health,ozone depletion,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-iho.5492d25edd5f90f5e582042a9b30b739,57
"ReCiPe 2016 v1.03, endpoint (I)",human health,particulate matter formation,,LCIA_Implementation_3.9.xlsx,DALYs,recipe-2016-v103-endpoint-ihp.a2b70959afdc828a393a50c5e32d62c8,5
