,,,description,filename,unit,abbreviation,num_cfs
Ecological Scarcity 2021,mineral resources,mineral resources,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021mm.e4a0e67507faa7eebfb99ac0cf17d11f,175
Ecological Scarcity 2021,natural resources,biotic resources,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021nb.1636d7049012034a8d181138d60ea774,2
Ecological Scarcity 2021,ozone depletion,ozone depletion,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021oo.652bebe8b33b5fdb3f043f772ae085f6,80
Ecological Scarcity 2021,total,UBP,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021tu.2c03db9656a2a6750535e3de37dff59e,1691
Ecological Scarcity 2021,waste disposal,radioactive waste to deposit,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021wr.8cc70a8b35a4824eb8f6627ee56b09cc,2
Ecological Scarcity 2021,waste disposal,"waste, non radioactive",,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021ww.96a39dd6fab003dba15ea84a2945680d,4
Ecological Scarcity 2021,water use,"water resources, evaporated",,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021ww.3b893208745dbdf8ea0f7d02f1f0c14f,5
Ecosystem Damage Potential,land occupation,ecosystem damage potential,,LCIA_Implementation_3.9.xlsx,points,ecosystem-damage-potentialle.af9873e29b4ef1c35aa02c114c4cdbe8,55
Ecosystem Damage Potential,land transformation,ecosystem damage potential,,LCIA_Implementation_3.9.xlsx,points,ecosystem-damage-potentialle.4a837e63244195bca182c623ca7f9327,110
Ecosystem Damage Potential,total,ecosystem damage potential,,LCIA_Implementation_3.9.xlsx,points,ecosystem-damage-potentialte.2237ccc1b3fc347f6633ba83fc0795e4,165
EDIP 2003 no LT,acidification no LT,acidification no LT,,LCIA_Implementation_3.9.xlsx,square meter,edip-2003-no-ltaa.83e68c5a1f8ddf51cb0db07b86699beb,31
EDIP 2003 no LT,ecotoxicity no LT,"acute, in water no LT",,LCIA_Implementation_3.9.xlsx,m3 water,edip-2003-no-ltea.37f477f5b80527b0406bc6ac9c9b18f8,215
EDIP 2003 no LT,ecotoxicity no LT,"chronic, in soil no LT",,LCIA_Implementation_3.9.xlsx,m3 soil,edip-2003-no-ltec.588eaf6920a1aa4e71a6de144adb2971,391
EDIP 2003 no LT,ecotoxicity no LT,"chronic, in water no LT",,LCIA_Implementation_3.9.xlsx,m3 water,edip-2003-no-ltec.963224837e02ebaa3828dd58f5649526,394
EDIP 2003 no LT,ecotoxicity no LT,in sewage treatment plants no LT,,LCIA_Implementation_3.9.xlsx,m3 waste water,edip-2003-no-ltei.443b58f494ecc2ab143621e88da19930,151
EDIP 2003 no LT,eutrophication no LT,combined potential no LT,,LCIA_Implementation_3.9.xlsx,kg NO3-,edip-2003-no-ltec.0083996d765f2b0bf5213398c637a7c8,100
EDIP 2003 no LT,eutrophication no LT,separate N potential no LT,,LCIA_Implementation_3.9.xlsx,kg N,edip-2003-no-ltes.559041e01d5d681f1df56a974f2b78e1,64
EDIP 2003 no LT,eutrophication no LT,separate P potential no LT,,LCIA_Implementation_3.9.xlsx,kg P,edip-2003-no-ltes.ef8f2d47f872f61cec2f979372f0435b,16
EDIP 2003 no LT,eutrophication no LT,terrestrial eutrophication no LT,,LCIA_Implementation_3.9.xlsx,square meter,edip-2003-no-ltet.220fee9d70ad2c595db69591586fd5f9,8
EDIP 2003 no LT,global warming no LT,GWP 100a no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,edip-2003-no-ltgg.792b1b2f7367c2c985cc8756be1a21fb,474
EDIP 2003 no LT,global warming no LT,GWP 20a no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,edip-2003-no-ltgg.6659c2b22e7cd94e3db6f0717fa9713c,474
EDIP 2003 no LT,global warming no LT,GWP 500a no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,edip-2003-no-ltgg.1615cdccbb02887cc4835efbfa5c1c24,474
EDIP 2003 no LT,human toxicity no LT,via air no LT,,LCIA_Implementation_3.9.xlsx,m3 air,edip-2003-no-lthv.30f1c10b59e68bae503fe9735dcbf481,370
EDIP 2003 no LT,human toxicity no LT,via soil no LT,,LCIA_Implementation_3.9.xlsx,m3 soil,edip-2003-no-lthv.ea49344131ec98499dfe5ad341f0b999,391
EDIP 2003 no LT,human toxicity no LT,via surface water no LT,,LCIA_Implementation_3.9.xlsx,m3 water,edip-2003-no-lthv.607e1845667b23c4350987c160a99da4,453
EDIP 2003 no LT,land filling no LT,bulk waste no LT,,LCIA_Implementation_3.9.xlsx,kg waste,edip-2003-no-ltlb.5a6e7d29d0277ecc4b900f32f226d536,3
EDIP 2003 no LT,land filling no LT,hazardous waste no LT,,LCIA_Implementation_3.9.xlsx,kg waste,edip-2003-no-ltlh.2a9ff5e179eb0f5ba8bdcdbf799c437b,1
EDIP 2003 no LT,land filling no LT,radioactive waste no LT,,LCIA_Implementation_3.9.xlsx,kg waste,edip-2003-no-ltlr.2bb58f712cc7f61e3a0b2bc6df9459a5,2
EDIP 2003 no LT,land filling no LT,slag and ashes no LT,,LCIA_Implementation_3.9.xlsx,kg waste,edip-2003-no-ltls.87f0dd2196081d60f226411a31ef44ee,1
EDIP 2003 no LT,non-renewable resources no LT,aluminium no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltna.defde8d5bc4d5e2f2dd4afb62abd9ec3,2
EDIP 2003 no LT,non-renewable resources no LT,antimony no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltna.267516d0f6bcf86fe6751906ca81ab5e,2
EDIP 2003 no LT,non-renewable resources no LT,brown coal no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnb.6e84f9a0672061a3bff9627f1fccea13,1
EDIP 2003 no LT,non-renewable resources no LT,cadmium no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnc.059e4244f6a65890897176b59a997528,2
EDIP 2003 no LT,non-renewable resources no LT,cerium no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnc.0b5b3e1af08bf76e7db02ac7b8cda254,2
EDIP 2003 no LT,non-renewable resources no LT,coal no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnc.6ea5983ff20c16cb61284ebfc6943e04,1
EDIP 2003 no LT,non-renewable resources no LT,cobalt no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnc.fcd1b4c2fa1da4f9f2bebb42fde62da0,1
EDIP 2003 no LT,non-renewable resources no LT,copper no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnc.35201cd38243408c0aaf173ced08167d,12
EDIP 2003 no LT,non-renewable resources no LT,gold no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltng.240cb41538d30611bd3be65415fdea9e,10
EDIP 2003 no LT,non-renewable resources no LT,iron no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltni.2e691b3597902e8244605f17d1b2be7b,2
EDIP 2003 no LT,non-renewable resources no LT,lanthanum no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnl.bf3d05dc12d44cc4dd636ca79f1e334d,2
EDIP 2003 no LT,non-renewable resources no LT,lead no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnl.10ad4bd7458976f43e28022879a36b4c,3
EDIP 2003 no LT,non-renewable resources no LT,manganese no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnm.d3a261791c7280cb1dc0b5713f643bf7,3
EDIP 2003 no LT,non-renewable resources no LT,mercury no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnm.3030d732647e6816d7e1029d45d10f61,2
EDIP 2003 no LT,non-renewable resources no LT,molybdenum no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnm.11bb4a6864b1e3a0071b8a6ef600a21e,8
EDIP 2003 no LT,non-renewable resources no LT,natural gas no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnn.f5e99e59ebe78c08dbb30b38aabffe04,2
EDIP 2003 no LT,non-renewable resources no LT,nickel no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnn.def1b8c35d6b90e181addba3b3f170d1,5
EDIP 2003 no LT,non-renewable resources no LT,oil no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltno.181f5260b4b7142bb27758ac39536f3a,1
EDIP 2003 no LT,non-renewable resources no LT,palladium no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnp.d4811edb21786f07d3c02ec5df29cf8e,3
EDIP 2003 no LT,non-renewable resources no LT,platinum no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnp.4c1535f1b0bbc1d7d525bf00cc5346b7,3
