TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Max_burst_current_A;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Pvol_Wh_m3;Weight_kg;Volume_cm3;Energy_kJ;Capacity_As;n_series;n_parallel
ProLiteX;TP4400-2SPX25;7.4;13200;25;50;220.0;158.8292683;660.0;7941.463415;347982.2161;0.615;280.704;351.64799999999997;47520.0;1;3
ProLiteX;TP4400-3SPX25;11.1;13200;25;50;220.0;159.6078431;660.0;7980.392157;347982.2161;0.9179999999999999;421.05600000000004;527.472;47520.0;1;3
ProLiteX;TP4400-4SPX25;14.8;13200;25;50;220.0;160.3940887;660.0;8019.704433;347982.2161;1.218;561.408;703.2959999999999;47520.0;1;3
ProLiteX;TP4400-5SPX25;18.5;13200;25;50;220.0;161.1881188;660.0;8059.405941;347982.2161;1.5150000000000001;701.76;879.1200000000001;47520.0;1;3
ProLiteX;TP4400-6SPX25;22.2;13200;25;50;220.0;162.5291181;660.0;8126.455907;347982.2161;1.803;842.1120000000001;1054.944;47520.0;1;3
ProLiteX;TP4400-7SPX25;25.9;13200;25;50;220.0;162.5677603;660.0;8128.388017;354309.1655;2.1029999999999998;964.92;1230.768;47520.0;1;3
ProLiteX;TP4400-8SPX25;29.6;13200;25;50;220.0;162.5967541;660.0;8129.837703;353505.7434;2.403;1105.272;1406.5919999999999;47520.0;1;3
ProLiteX;TP4400-8SPX25L;29.6;13200;25;50;220.0;160.5918619;660.0;8029.593095;347982.2161;2.4330000000000003;1122.816;1406.5919999999999;47520.0;1;3
ProLiteX;TP4400-9SPX25;33.3;13200;25;50;220.0;162.4390244;660.0;8121.95122;352883.3741;2.706;1245.624;1582.416;47520.0;1;3
ProLiteX;TP4400-10SPX25;37.0;13200;25;50;220.0;163.7826962;660.0;8189.134809;356904.8371;2.982;1368.432;1758.2400000000002;47520.0;1;3
ProLiteX;TP5000-2SPX25;7.4;15000;25;50;250.0;156.1181435;750.0;7805.907173;332997.336;0.711;333.336;399.59999999999997;54000.0;1;3
