;Voltage_V;Capacity_mAh;Weight_g;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Volume_mm3
26;29.6;24000;4272;166.2921348;1200.0;8314.606742;1782144
27;33.3;24000;4740;168.6075949;1200.0;8430.379747;1973088
28;37.0;24000;5262;168.7571266;1200.0;8437.856328;2227680
29;37.0;24000;5322;166.854566;1200.0;8342.728298;2227680
30;22.2;24000;3216;165.6716418;1200.0;8283.58209;1336608
31;7.4;26400;1230;158.8292683;1320.0;7941.463415;561408
32;22.2;26400;3606;162.5291181;1320.0;8126.455907;1684224
33;25.9;26400;4206;162.5677603;1320.0;8128.388017;1929840
34;37.0;26400;5964;163.7826962;1320.0;8189.134809;2736864
35;11.1;30000;2094;159.025788;1500.0;7951.289398;982464
36;14.8;30000;2790;159.1397849;1500.0;7956.989247;1298256
37;18.5;30000;3444;161.1498258;1500.0;8057.491289;1614048
38;33.3;30000;6276;159.1778203;1500.0;7958.891013;2877216
39;37.0;30000;6972;159.2082616;1500.0;7960.413081;3228096
40;37.0;30000;7032;157.8498294;1500.0;7892.491468;3228096
41;11.1;36000;2232;179.0322581;1800.0;8951.612903;1061424
42;14.8;36000;2940;181.2244898;1800.0;9061.22449;1375920
43;18.5;36000;3828;173.9811912;1800.0;8699.059561;1690416
44;22.2;36000;4458;179.2732167;1800.0;8963.660834;2044224
45;11.1;40800;2904;155.9504132;2040.0;7797.520661;1352952
46;22.2;40800;5442;166.4388093;2040.0;8321.940463;2670300
47;7.4;48000;2100;169.1428571;2400.0;8457.142857;1004136
48;11.1;48000;3156;168.8212928;2400.0;8441.064639;1506204
49;14.8;48000;4206;168.9015692;2400.0;8445.078459;2008272
50;18.5;48000;5154;172.2933644;2400.0;8614.668219;2510340
51;3.7;1950;72;100.2083333;273.0;14029.16667;33750
52;7.4;1950;138;104.5652174;273.0;14639.13043;74250
0;14.8;25900;1680;228.1666667;2331.0;20535.0;1053864
1;7.4;3500;210;123.3333333;175.0;6166.666667;100170
2;11.1;3500;308;126.1363636;175.0;6306.818182;144690
3;7.4;5250;273;142.3076923;262.5;7115.384615;143220
4;11.1;5250;399;146.0526316;262.5;7302.631579;214830
5;7.4;6370;329;143.2765957;318.5;7163.829787;161525
6;7.4;9450;427;163.7704918;472.5;8188.52459;210392
7;11.1;9450;658;159.4148936;472.5;7970.744681;323680
8;7.4;9450;448;156.09375;472.5;7804.6875;210392
9;11.1;9450;665;157.7368421;472.5;7886.842105;323680
10;11.1;15400;1057;161.7218543;770.0;8086.092715;524790
11;14.8;15400;1379;165.2791878;770.0;8263.959391;674730
12;7.4;19600;861;168.4552846;980.0;8422.764228;412692
13;11.1;19600;1267;171.7127072;980.0;8585.635359;582624
14;11.1;19600;1267;171.7127072;980.0;8585.635359;582624
15;11.1;19600;1267;171.7127072;980.0;8585.635359;582624
16;14.8;19600;1638;177.0940171;980.0;8854.700855;776832
17;22.2;19600;2457;177.0940171;980.0;8854.700855;1165248
18;22.2;23800;3346;157.9079498;1190.0;7895.39749;1544130
19;22.2;23800;3416;154.6721311;1190.0;7733.606557;1549849
20;29.6;23800;4277;164.7135843;1190.0;8235.679214;2031750
21;7.4;28000;1092;189.7435897;1400.0;9487.179487;556920
22;18.5;28000;3045;170.1149425;1400.0;8505.747126;1299480
23;22.2;28000;3752;165.6716418;1400.0;8283.58209;1559376
24;25.9;28000;4298;168.7296417;1400.0;8436.482085;1819272
